timestamp,state_fips,f_sys,mode,is_mountain_state,total_chunks,sample_chunks,v_rmse_ceiling,h_rmse_ceiling,maxv_ceiling,maxh_ceiling,n_evaluated,n_passing,passing_factors,rmse_rise,early_exit_factor,selection_method,selected_factor,peak_elbow_distance,elbow_distance_profile,v_rmse_at_baseline,h_rmse_at_baseline,maxv_at_baseline,maxh_at_baseline,curvevar_at_baseline,v_rmse_at_selected,h_rmse_at_selected,maxv_at_selected,maxh_at_selected,curvevar_at_selected,std_v_rmse_at_selected,std_h_rmse_at_selected,last_passing_factor,v_rmse_at_last_passing,h_rmse_at_last_passing,maxv_at_last_passing,maxh_at_last_passing,national_default_factor,deviation_from_default,ceiling_proximity_pct,confidence_score,override_recommended
2026-05-18 08:02:27,31,1,H,False,481,214,4.0,3.5,35.0,15.0,15,15,100|200|400|600|800|1000|1200|1400|1600|1800|2000|2500|3000|4000|4500,1.5458,,elbow,1200,0.2834,F100:0.0000  F200:0.1113  F400:0.2154  F600:0.2539  F800:0.2720  F1000:0.2800  F1200:0.2834  F1400:0.2805  F1600:0.2746  F1800:0.2637  F2000:0.2511  F2500:0.2130  F3000:0.1676  F4000:0.0593  F4500:0.0000,1.3986,1.1558,8.3017,4.6989,0.0122,1.4058,2.1619,8.1238,9.726,0.0123,1.7953,1.9971,4500,1.406,2.7017,8.1217,10.1537,400,3.0,61.8,78,False
2026-05-18 08:02:27,31,1,V,False,481,214,4.0,3.5,35.0,15.0,15,15,100|200|400|600|800|1000|1200|1400|1600|1800|2000|2500|3000|4000|4500,0.2051,,elbow,1000,0.4537,F100:0.0000  F200:0.1897  F400:0.3476  F600:0.4096  F800:0.4418  F1000:0.4537  F1200:0.4502  F1400:0.4440  F1600:0.4246  F1800:0.4037  F2000:0.3817  F2500:0.3169  F3000:0.2411  F4000:0.0804  F4500:0.0000,1.2322,2.1619,5.0712,9.726,0.0123,1.4058,2.1619,8.1238,9.726,0.0123,1.7953,1.9971,4500,1.4374,2.1619,8.1238,9.726,1000,1.0,35.1,79,False
2026-05-18 08:02:27,31,2,H,False,462,210,4.5,3.5,30.0,15.0,8,5,100|200|400|600|800,1.7515,1400,elbow,400,0.116,F100:0.0000  F200:0.0828  F400:0.1160  F600:0.0766  F800:0.0000,2.3016,1.3918,12.2285,6.1279,0.0435,2.3071,2.4297,12.2263,10.8481,0.0446,2.074,1.4589,800,2.3074,3.1432,12.41,14.8516,200,2.0,69.4,46,False
2026-05-18 08:02:27,31,2,V,False,462,210,4.5,3.5,30.0,15.0,15,15,100|200|400|600|800|1000|1200|1400|1600|1800|2000|2500|3000|4000|4500,0.8563,,elbow,1000,0.4346,F100:0.0000  F200:0.1508  F400:0.2937  F600:0.3751  F800:0.4164  F1000:0.4346  F1200:0.4314  F1400:0.4233  F1600:0.4071  F1800:0.3870  F2000:0.3624  F2500:0.2940  F3000:0.2223  F4000:0.0748  F4500:0.0000,1.6057,2.4297,7.7717,10.8481,0.0446,2.3071,2.4297,12.2263,10.8481,0.0446,2.074,1.4589,4500,2.462,2.4297,13.8302,10.8481,1000,1.0,51.3,90,False
2026-05-18 08:02:27,31,3,H,False,2563,335,3.5,3.5,15.0,12.0,7,4,100|200|400|600,1.1599,1200,elbow,200,0.0898,F100:0.0000  F200:0.0898  F400:0.0893  F600:0.0000,2.4846,1.3178,10.8836,5.2888,0.0265,2.4838,1.6971,10.7412,7.3553,0.0263,1.765,0.9271,600,2.4868,2.4777,10.909,11.5938,200,1.0,48.5,40,False
2026-05-18 08:02:27,31,3,V,False,2563,335,3.5,3.5,15.0,12.0,15,15,100|200|400|600|800|1000|1200|1400|1600|1800|2000|2500|3000|4000|4500,1.4505,,elbow,1200,0.3662,F100:0.0000  F200:0.1268  F400:0.2458  F600:0.3072  F800:0.3415  F1000:0.3596  F1200:0.3662  F1400:0.3660  F1600:0.3578  F1800:0.3452  F2000:0.3286  F2500:0.2788  F3000:0.2174  F4000:0.0759  F4500:0.0000,1.4496,1.6971,5.6441,7.3553,0.0263,2.5634,1.6971,11.2928,7.3553,0.0263,1.8726,0.9271,4500,2.9001,1.6971,13.9961,7.3553,600,2.0,73.2,86,False
2026-05-18 08:02:27,31,4,H,False,4835,356,3.5,3.5,12.0,12.0,7,4,100|200|400|600,0.9758,1200,elbow,400,0.0796,F100:0.0000  F200:0.0795  F400:0.0796  F600:0.0000,2.7277,1.1804,11.7097,4.929,0.0318,2.7291,1.8758,11.7097,9.1846,0.0317,1.6646,1.4348,600,2.7321,2.1562,11.7097,11.0079,200,2.0,53.6,38,True
2026-05-18 08:02:27,31,4,V,False,4835,356,3.5,3.5,12.0,12.0,9,6,100|200|400|600|800|1000,1.3256,1600,elbow,400,0.1647,F100:0.0000  F200:0.1057  F400:0.1647  F600:0.1416  F800:0.0814  F1000:0.0000,1.4035,1.8758,5.5232,9.1846,0.0317,2.1541,1.8758,8.6155,9.1846,0.0317,1.1185,1.4348,1000,2.7291,1.8758,11.7097,9.1846,400,1.0,61.5,54,False
2026-05-18 08:02:27,31,5,H,False,11216,372,4.0,3.5,15.0,15.0,7,4,100|200|400|600,0.9794,1200,elbow,400,0.0845,F100:0.0000  F200:0.0841  F400:0.0845  F600:0.0000,3.1164,1.2836,12.8128,5.9929,0.0539,3.1186,1.9883,12.8113,10.9517,0.0534,1.6672,1.3729,600,3.1205,2.263,12.8113,13.5011,200,2.0,56.8,39,True
2026-05-18 08:02:27,31,5,V,False,11216,372,4.0,3.5,15.0,15.0,14,11,100|200|400|600|800|1000|1200|1400|1600|1800|2000,2.1088,4000,elbow,800,0.2302,F100:0.0000  F200:0.1002  F400:0.1940  F600:0.2278  F800:0.2302  F1000:0.2138  F1200:0.1862  F1400:0.1493  F1600:0.1052  F1800:0.0549  F2000:0.0000,1.482,1.9883,6.3435,10.9517,0.0534,2.9456,1.9883,12.0954,10.9517,0.0534,1.4962,1.3729,2000,3.5908,1.9883,14.7797,10.9517,600,1.333,73.6,73,False
